season,round,race_name,circuit,driver,team,grid,position,points,status,won,dnf,driver_avg_finish_last3,driver_circuit_win_rate,driver_dnf_rate,team_avg_points_last3,cumulative_points,driver_championship_pos,gap_to_leader,regulation_era,home_race
2025,6,Miami Grand Prix,miami,albon,Williams,7,5.0,10.0,Finished,0,0,10.0,0.0,0.17272727272727273,2.6666666666666665,30.0,8.0,72.0,2,0
2025,7,Emilia Romagna Grand Prix,imola,albon,Williams,7,5.0,10.0,Finished,0,0,8.666666666666666,0.0,0.17117117117117117,6.0,40.0,7.0,87.0,2,0
2025,8,Monaco Grand Prix,monaco,albon,Williams,10,9.0,2.0,Lapped,0,0,6.333333333333333,0.0,0.16964285714285715,10.666666666666666,42.0,7.0,92.0,2,0
2025,9,Spanish Grand Prix,catalunya,albon,Williams,11,19.0,0.0,Retired,0,1,6.333333333333333,0.0,0.168141592920354,9.666666666666666,42.0,8.0,107.0,2,0
2025,10,Canadian Grand Prix,villeneuve,albon,Williams,9,20.0,0.0,Retired,0,1,11.0,0.0,0.17543859649122806,5.666666666666667,42.0,8.0,130.0,2,0
2025,11,Austrian Grand Prix,red_bull_ring,albon,Williams,12,17.0,0.0,Retired,0,1,16.0,0.0,0.1826086956521739,1.3333333333333333,42.0,8.0,142.0,2,0
2025,12,British Grand Prix,silverstone,albon,Williams,13,8.0,4.0,Finished,0,0,18.666666666666668,0.0,0.1896551724137931,0.3333333333333333,46.0,8.0,160.0,2,0
2025,13,Belgian Grand Prix,spa,albon,Williams,5,6.0,8.0,Finished,0,0,15.0,0.0,0.18803418803418803,1.6666666666666667,54.0,8.0,174.0,2,0
2025,14,Hungarian Grand Prix,hungaroring,albon,Williams,19,15.0,0.0,Lapped,0,0,10.333333333333334,0.0,0.1864406779661017,4.0,54.0,8.0,191.0,2,0
2025,15,Dutch Grand Prix,zandvoort,albon,Williams,15,5.0,10.0,Finished,0,0,9.666666666666666,0.0,0.18487394957983194,4.0,64.0,8.0,209.0,2,0
2025,16,Italian Grand Prix,monza,albon,Williams,14,7.0,6.0,Finished,0,0,8.666666666666666,0.0,0.18333333333333332,6.0,70.0,7.0,224.0,2,0
2025,17,Azerbaijan Grand Prix,baku,albon,Williams,19,13.0,0.0,Finished,0,0,9.0,0.0,0.18181818181818182,5.333333333333333,70.0,7.0,233.0,2,0
2025,18,Singapore Grand Prix,marina_bay,albon,Williams,20,14.0,0.0,Lapped,0,0,8.333333333333334,0.0,0.18032786885245902,10.333333333333334,70.0,8.0,233.0,2,0
2025,19,United States Grand Prix,americas,albon,Williams,18,14.0,0.0,Finished,0,0,11.333333333333334,0.0,0.17886178861788618,7.333333333333333,70.0,8.0,245.0,2,0
2025,20,Mexico City Grand Prix,rodriguez,albon,Williams,17,12.0,0.0,Lapped,0,0,13.666666666666666,0.0,0.1774193548387097,5.333333333333333,70.0,8.0,255.0,2,0
2025,21,São Paulo Grand Prix,interlagos,albon,Williams,12,11.0,0.0,Finished,0,0,13.333333333333334,0.0,0.176,0.3333333333333333,70.0,8.0,272.0,2,0
2025,22,Las Vegas Grand Prix,vegas,albon,Williams,16,16.0,0.0,Retired,0,1,12.333333333333334,0.0,0.1746031746031746,0.0,70.0,8.0,297.0,2,0
