season,round,race_name,circuit,driver,team,grid,position,points,status
2010,8,Canadian Grand Prix,villeneuve,grassi,Virgin,23,19,0.0,+5 Laps
2010,8,Canadian Grand Prix,villeneuve,glock,Virgin,21,\N,0.0,Mechanical
2010,8,Canadian Grand Prix,villeneuve,trulli,Lotus,20,\N,0.0,Brakes
2010,8,Canadian Grand Prix,villeneuve,rosa,Sauber,17,\N,0.0,Engine
2010,8,Canadian Grand Prix,villeneuve,bruno_senna,HRT,22,\N,0.0,Hydraulics
2010,8,Canadian Grand Prix,villeneuve,kobayashi,Sauber,18,\N,0.0,Accident
2010,9,European Grand Prix,valencia,vettel,Red Bull,1,1,25.0,Finished
2010,9,European Grand Prix,valencia,hamilton,McLaren,3,2,18.0,Finished
2010,9,European Grand Prix,valencia,button,McLaren,7,3,15.0,Finished
2010,9,European Grand Prix,valencia,barrichello,Williams,9,4,12.0,Finished
2010,9,European Grand Prix,valencia,kubica,Renault,6,5,10.0,Finished
2010,9,European Grand Prix,valencia,sutil,Force India,13,6,8.0,Finished
2010,9,European Grand Prix,valencia,kobayashi,Sauber,18,7,6.0,Finished
2010,9,European Grand Prix,valencia,alonso,Ferrari,4,8,4.0,Finished
2010,9,European Grand Prix,valencia,buemi,Toro Rosso,11,9,2.0,Finished
2010,9,European Grand Prix,valencia,rosberg,Mercedes,12,10,1.0,Finished
2010,9,European Grand Prix,valencia,massa,Ferrari,5,11,0.0,Finished
2010,9,European Grand Prix,valencia,rosa,Sauber,16,12,0.0,Finished
2010,9,European Grand Prix,valencia,alguersuari,Toro Rosso,17,13,0.0,Finished
2010,9,European Grand Prix,valencia,petrov,Renault,10,14,0.0,Finished
2010,9,European Grand Prix,valencia,michael_schumacher,Mercedes,15,15,0.0,Finished
2010,9,European Grand Prix,valencia,liuzzi,Force India,14,16,0.0,Finished
2010,9,European Grand Prix,valencia,grassi,Virgin,21,17,0.0,+1 Lap
2010,9,European Grand Prix,valencia,chandhok,HRT,23,18,0.0,+2 Laps
2010,9,European Grand Prix,valencia,glock,Virgin,22,19,0.0,+2 Laps
2010,9,European Grand Prix,valencia,bruno_senna,HRT,24,20,0.0,+2 Laps
2010,9,European Grand Prix,valencia,trulli,Lotus,19,21,0.0,+4 Laps
2010,9,European Grand Prix,valencia,hulkenberg,Williams,8,\N,0.0,Exhaust
2010,9,European Grand Prix,valencia,kovalainen,Lotus,20,\N,0.0,Collision
2010,9,European Grand Prix,valencia,webber,Red Bull,2,\N,0.0,Collision
2010,10,British Grand Prix,silverstone,webber,Red Bull,2,1,25.0,Finished
2010,10,British Grand Prix,silverstone,hamilton,McLaren,4,2,18.0,Finished
2010,10,British Grand Prix,silverstone,rosberg,Mercedes,5,3,15.0,Finished
2010,10,British Grand Prix,silverstone,button,McLaren,14,4,12.0,Finished
2010,10,British Grand Prix,silverstone,barrichello,Williams,8,5,10.0,Finished
2010,10,British Grand Prix,silverstone,kobayashi,Sauber,12,6,8.0,Finished
2010,10,British Grand Prix,silverstone,vettel,Red Bull,1,7,6.0,Finished
2010,10,British Grand Prix,silverstone,sutil,Force India,11,8,4.0,Finished
2010,10,British Grand Prix,silverstone,michael_schumacher,Mercedes,10,9,2.0,Finished
2010,10,British Grand Prix,silverstone,hulkenberg,Williams,13,10,1.0,Finished
2010,10,British Grand Prix,silverstone,liuzzi,Force India,20,11,0.0,Finished
2010,10,British Grand Prix,silverstone,buemi,Toro Rosso,16,12,0.0,Finished
2010,10,British Grand Prix,silverstone,petrov,Renault,15,13,0.0,Finished
2010,10,British Grand Prix,silverstone,alonso,Ferrari,3,14,0.0,Finished
2010,10,British Grand Prix,silverstone,massa,Ferrari,7,15,0.0,Finished
2010,10,British Grand Prix,silverstone,trulli,Lotus,21,16,0.0,+1 Lap
2010,10,British Grand Prix,silverstone,kovalainen,Lotus,18,17,0.0,+1 Lap
2010,10,British Grand Prix,silverstone,glock,Virgin,19,18,0.0,+2 Laps
2010,10,British Grand Prix,silverstone,chandhok,HRT,23,19,0.0,+2 Laps
2010,10,British Grand Prix,silverstone,yamamoto,HRT,24,20,0.0,+2 Laps
2010,10,British Grand Prix,silverstone,alguersuari,Toro Rosso,17,\N,0.0,Brakes
2010,10,British Grand Prix,silverstone,rosa,Sauber,9,\N,0.0,Collision
2010,10,British Grand Prix,silverstone,kubica,Renault,6,\N,0.0,Driveshaft
2010,10,British Grand Prix,silverstone,grassi,Virgin,22,\N,0.0,Hydraulics
2010,11,German Grand Prix,hockenheimring,alonso,Ferrari,2,1,25.0,Finished
2010,11,German Grand Prix,hockenheimring,massa,Ferrari,3,2,18.0,Finished
2010,11,German Grand Prix,hockenheimring,vettel,Red Bull,1,3,15.0,Finished
2010,11,German Grand Prix,hockenheimring,hamilton,McLaren,6,4,12.0,Finished
2010,11,German Grand Prix,hockenheimring,button,McLaren,5,5,10.0,Finished
2010,11,German Grand Prix,hockenheimring,webber,Red Bull,4,6,8.0,Finished
2010,11,German Grand Prix,hockenheimring,kubica,Renault,7,7,6.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,rosberg,Mercedes,9,8,4.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,michael_schumacher,Mercedes,11,9,2.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,petrov,Renault,13,10,1.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,kobayashi,Sauber,12,11,0.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,barrichello,Williams,8,12,0.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,hulkenberg,Williams,10,13,0.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,rosa,Sauber,14,14,0.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,alguersuari,Toro Rosso,15,15,0.0,+1 Lap
2010,11,German Grand Prix,hockenheimring,liuzzi,Force India,21,16,0.0,+2 Laps
2010,11,German Grand Prix,hockenheimring,sutil,Force India,19,17,0.0,+2 Laps
2010,11,German Grand Prix,hockenheimring,glock,Virgin,23,18,0.0,+3 Laps
2010,11,German Grand Prix,hockenheimring,bruno_senna,HRT,20,19,0.0,+4 Laps
2010,11,German Grand Prix,hockenheimring,kovalainen,Lotus,18,\N,0.0,Collision
2010,11,German Grand Prix,hockenheimring,grassi,Virgin,24,\N,0.0,Gearbox
2010,11,German Grand Prix,hockenheimring,yamamoto,HRT,22,\N,0.0,Engine
2010,11,German Grand Prix,hockenheimring,trulli,Lotus,17,\N,0.0,Gearbox
2010,11,German Grand Prix,hockenheimring,buemi,Toro Rosso,16,\N,0.0,Collision
2010,12,Hungarian Grand Prix,hungaroring,webber,Red Bull,2,1,25.0,Finished
2010,12,Hungarian Grand Prix,hungaroring,alonso,Ferrari,3,2,18.0,Finished
2010,12,Hungarian Grand Prix,hungaroring,vettel,Red Bull,1,3,15.0,Finished
2010,12,Hungarian Grand Prix,hungaroring,massa,Ferrari,4,4,12.0,Finished
2010,12,Hungarian Grand Prix,hungaroring,petrov,Renault,7,5,10.0,Finished
2010,12,Hungarian Grand Prix,hungaroring,hulkenberg,Williams,10,6,8.0,Finished
2010,12,Hungarian Grand Prix,hungaroring,rosa,Sauber,9,7,6.0,+1 Lap
2010,12,Hungarian Grand Prix,hungaroring,button,McLaren,11,8,4.0,+1 Lap
2010,12,Hungarian Grand Prix,hungaroring,kobayashi,Sauber,23,9,2.0,+1 Lap
